Factory Wheel Warehouse,,,
Gross Sales By Product,,,
Date Range: 04/01/2021 - 06/30/2021,,,
 ,,,
Product,,Sales,
ALY73793U35 - WL;17-20 Q60;19X9;20SPKMACHD AND MED CHARC MET,,415.00,
STL02185U45 - STL02185U45,,411.51,
ALY05921U80 - WL;19 SIER/SILV;22x9;18 SPOKEALL POLISHED,,404.80,
SECO.57023020 - VNGP332 M1 CARBIDE TURNING INSERT SOLD AS EACH BIT,,404.30,
ALY72288U45 - WL;17-19 DISCOVERY;20X8.5;10SPALL PAINTED BLACK,,402.26,
ALY74370U95 - 18-20 LEXUS LS500 20X8.5 20 SPOKE,,400.00,
ALY97343U10 - ALY97343U10,,400.00,
ALY86220U35 - WL;16-19 X1;19X8;5Y SPMACHD/MED CHARC METALLIC,,399.74,
AW.96101-1 - SILVER 1/2 OZ WHEEL WEIGHTS (1 BOX),,399.60,
ALY86001U35 - WL;11-16 5/6 SER;19X8.5;10SPMACHINED AND LT CHARC/FRONT,,395.00,
STL63927U20 - WL;07-11 CRV;17X6.5;5 SPOKE,,392.12,
STL69394U20 - WL;00-06 TUNDRA;16X7;5 HOL,,392.12,
"STL99048U20 - 2007-2013 Toyota Tacoma Steel 16""",,392.12,
"September 13, 2021 2:48:24 PM EDT",Page 5 of ,,21
Factory Wheel Warehouse,,,
Gross Sales By Product,,,
Date Range: 04/01/2021 - 06/30/2021,,,
 ,,,
Product,,Sales,
ALY70804U77 - WL;10-13 SON;18X7.5;5DBLSLIGHT SMOKED HYPERSILVER FF,,392.05,
ALY05304U85N - SILVER - CHROME 2007-2013 | GMC | SIERRA 1500 | 20x8.5 | 8-139mm (5in) | 6,,390.00,
DAS.6-228S - TPMS VALVE STEM ASSY FOR MERCEDES box of 10 (9066K),,387.20,
ALY64037U35 - WL;12-19 PILOT;18X7.5;5-SPKMACHD/DARK CHARC W/BLK PRIMR,,385.94,
ALY85012U20 - WL;08-09 MB E550;18X9;5 SPOKEREAR/ ALL PAINTED SILVER,,382.02,
ALY97410U10 - 2018 MASERATI GRANSPORT 20X10.5,,382.02,
ALY75221U45 - WL;18-20 CAMRY;18x8;20SPKMACHD AND GLOSS BLACK,,381.24,
ALY86335U35 - WL FT;17-19 5 SERS;20X8;5DBL,,380.00,
ALY74717U95 - WL;15-18 SEDONA;19X7.5;5DBLLIGHT PVD CHROME OE,,376.22,
ALY96953U30 - ALY96953U30,,376.20,
ALY59012U20 - WL;17-18 Q7;21 INCH;5 DBLALL PAINTED SILVER,,375.00,
ALY62583U35 - WL;13-14 MAXIMA;19X8;5 Y SPKALL PANTD MEDIUM CHARC MET,,375.00,
ALY72247U20 - WL;13-19 RNG RVR;22X9.5;10SPKALL PAINTED SPARKLE SILVER,,375.00,
ALY86095U45 - WL;15-19 M3/M4;19X10;5DBLMACHD AND BLK SLW MACH;REAR,,375.00,
ALY86281U30 - WL;16-19 7 SER;20X8.5;5DBLMACHD W DRK CHARC MET;FRNT,,375.00,
ALY74278U77 - WL;13-18 ES350;18X7.5;20 SPKBRIGHT HYPERSILVER FF,,374.70,
ALY10127U79 - WL;17-19 MKZ;18X8;15SPKMACHD/DARK SMOKED HYPSILV,,373.50,
ALY04696U80N - ALL POLISHEDWL;13-16 XTS;19X8.5;10SPK,,372.38,
ALY71514U30 - ALY71514U30,,372.00,
ALY69601U20 - WL;13-18 PRIUS V;17X7;10 SPKALL PAINTED SILVER,,366.82,
ALY96508A30 - ALY96508A30,,366.82,
"ALY05446U45 - 2010-2016 Chevrolet Camaro Aluminium  20""",,365.85,
ALY69822A45 - WL;05-14 JETTA/GTI;18X7.5;5SPKMACHINED AND BLACK,,365.85,
ALY75221U10 - WL;18-20 CAMRY;18x8;20 SPOKEMACHINED SILVER,,364.65,
ALY69992U20 - WL;15-18 GOLF;16X6.5;5SPKALL PAINTED SILVER,,362.48,
ALY73782U30 - WL;16-20 QX60;18X7.5;15SPKMACHD DARK CHARC W BLK PRIM,,361.24,
ALY03656U10 - WL;07-9 MKZ;17X7.5;8 SP W RIBSMACHINED AND SILVER,,360.00,
ALY63919U10 - WL;06-07 ACCORD;17X6.5;9 SPKMACHINED W/SILVER VENTS,,360.00,
ALY70926U30 - WL;18-19 ELANTRA;17x7;10SPKMACHD/DARK CHAR METALLIC,,360.00,
ALY09105U20 - WL;11-14 GRND CHR;18X8;5SPKSPARKLE SILVER FF,,355.00,
ALY03859U20 - WL;11-17 EXPLR;18X8;5 5 SPLSPKALL PNT BRIGHT SILVER METALLIC,,352.43,
