Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
2167A,2002-2004 Dodge Ram 1500 (2167A),0,,ea,,70.00,
2167A-Core,2002-2004 Dodge Ram 1500 (2167A),0,,ea,,20.00,
2167a80,2002-2004 Dodge Ram 1500 (2167A),0,,ea,,71.00,
2167a80-core,2002-2004 Dodge Ram 1500 (2167A),0,,ea,,17.00,
2167u86-GradeC,2002-2004 Dodge Ram 1500 (2167A),0,,ea,,30.00,
"September 13, 2021 2:44:28 PM EDT",,,Page 9 of ,,,,528
Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
2169a,2169a Wheel,0,,ea,,111.00,
2169a-Core,2169a-Core,0,,ea,,57.00,
2169a20,2169a20,0,,ea,,28.00,
2169a20-core,2169a20-core,0,,ea,,28.00,
2172u10,2172u10,0,,ea,,74.00,
2172u10-core,2172u10-core,0,,ea,,20.00,
2174u10,2002-2004 Dodge Stratus (2174),0,,ea,,70.00,
2174u10-core,2002-2004 Dodge Stratus (2174),0,,ea,,20.00,
2174u20,2002-2004 Dodge Stratus (2174),0,,ea,,75.00,
2174u20-Core,2002-2004 Dodge Stratus (2174),0,,ea,,25.00,
2181u20(CNC silver),2181u20(CNC silver),0,,ea,,70.00,
2181u20(CNC silver)-core,2181u20(CNC silver)-core,0,,ea,,20.00,
2184,2003-2008 dodge caravan/grand caravan (2184),0,,ea,,25.00,
2184-core,2003-2008 dodge caravan/grand caravan (2184),0,,ea,,0.00,
2184u20(CNC silver),2003-2008 dodge caravan/grand caravan (2184),0,,ea,,71.00,
2184u20(CNC silver)-core,2003-2008 dodge caravan/grand caravan (2184),0,,ea,,17.00,
2187B80,Dodge Ram Pickup 17x8 Polished Wheel,0,,ea,,0.00,
2187B80N,2187B80N,0,,ea,,0.00,
2187u20(CNC silver)-core,2187u20(CNC silver)-core,0,,ea,,20.00,
2187u20N,Dodge Ram 17x7 Machined Silver Replica Wheel,0,,ea,,0.00,
2187u80,2187u80,0,,ea,,81.00,
2187u80-core,2187u80-core,0,,ea,,27.00,
2188u20,2188u20,0,,ea,,71.00,
2188u20-core,2188u20-core,0,,ea,,17.00,
2193,2003-2005 Dodge Neon (2193),0,,ea,,0.00,
