Part Number,Magento Quantity,Total Quantity,Lowest Cost,Highest Cost,Warehouse,Warehouse Cost,Coast,Coast Cost,Perfection,Perfection Cost,Jante,Jante Cost,Road Ready,Road Ready Cost
ALY05720U,5,24,12.5,124.0,0,0,17,12.5,7,124.0,0,0,0,0
ALY05720U20,5,12,165.85,165.85,0,0,12,165.85,0,0,0,0,0,0
ALY05748U,5,21,12.5,124.0,0,0,15,12.5,6,124.0,0,0,0,0
ALY05748U20,5,100,165.85,165.85,0,0,100,165.85,0,0,0,0,0,0
ALY05749U20,4,4,165.85,165.85,0,0,4,165.85,0,0,0,0,0,0
ALY05758U20,5,5,229.65,229.65,0,0,5,229.65,0,0,0,0,0,0
ALY05764U,5,8,12.5,12.5,0,0,8,12.5,0,0,0,0,0,0
ALY05772U,5,44,12.5,139.0,0,0,28,12.5,16,139.0,0,0,0,0
ALY05772U10,5,10,165.85,165.85,0,0,10,165.85,0,0,0,0,0,0
ALY05788U20,5,6,165.85,165.85,0,0,6,165.85,0,0,0,0,0,0
ALY05790U,5,16,12.5,152.0,0,0,10,12.5,6,152.0,0,0,0,0
ALY05790U30,5,8,139.56,139.56,0,0,8,139.56,0,0,0,0,0,0
ALY05791U,5,34,12.5,152.0,0,0,18,12.5,16,152.0,0,0,0,0
ALY05791U20,5,6,165.85,165.85,0,0,6,165.85,0,0,0,0,0,0
ALY05791U45,5,11,165.85,165.85,0,0,11,165.85,0,0,0,0,0,0
ALY05793U,5,29,12.5,211.0,0,0,13,12.5,16,211.0,0,0,0,0
ALY05794U,5,109,12.5,152.0,0,0,108,12.5,1,152.0,0,0,0,0
ALY05794U79,5,41,289.08,289.08,0,0,41,289.08,0,0,0,0,0,0
ALY05798U,5,14,12.5,12.5,0,0,14,12.5,0,0,0,0,0,0
ALY05798U15,5,7,165.85,165.85,0,0,7,165.85,0,0,0,0,0,0
ALY05798U79,5,19,221.33,221.33,0,0,19,221.33,0,0,0,0,0,0
ALY05829U,5,53,12.5,124.0,0,0,37,12.5,16,124.0,0,0,0,0
ALY05830U,5,28,12.5,152.0,0,0,12,12.5,16,152.0,0,0,0,0
ALY05832U10,5,71,229.65,229.65,0,0,71,229.65,0,0,0,0,0,0
ALY05845U,5,143,12.5,152.0,0,0,127,12.5,16,152.0,0,0,0,0
ALY05845U30,5,48,229.65,229.65,0,0,48,229.65,0,0,0,0,0,0
ALY05848U,5,95,12.5,12.5,0,0,95,12.5,0,0,0,0,0,0
ALY05851U,5,22,12.5,184.0,0,0,21,12.5,1,184.0,0,0,0,0
ALY05851U78,5,6,289.08,289.08,0,0,6,289.08,0,0,0,0,0,0
ALY05852A,5,131,12.5,152.0,0,0,115,12.5,16,152.0,0,0,0,0
ALY05852A80,5,6,291.15,291.15,0,0,6,291.15,0,0,0,0,0,0
ALY05852U,5,9,12.5,12.5,0,0,9,12.5,0,0,0,0,0,0
ALY05852U78,5,24,289.08,289.08,0,0,24,289.08,0,0,0,0,0,0
ALY05869U35,5,5,165.85,165.85,0,0,5,165.85,0,0,0,0,0,0
ALY05879U20,5,10,165.85,165.85,0,0,10,165.85,0,0,0,0,0,0
ALY05880U,5,134,12.5,152.0,0,0,122,12.5,12,152.0,0,0,0,0
ALY05880U10,5,46,165.85,197.0,0,0,42,165.85,4,197.0,0,0,0,0
ALY05885U20,5,14,165.85,165.85,0,0,14,165.85,0,0,0,0,0,0
ALY05893U35N,5,37,208.39,212.66,0,0,12,212.66,0,0,25,208.39,0,0
ALY05894U20,5,11,229.65,229.65,0,0,11,229.65,0,0,0,0,0,0
ALY05905U45,5,39,165.85,165.85,0,0,39,165.85,0,0,0,0,0,0
ALY05948U10,5,7,165.85,165.85,0,0,7,165.85,0,0,0,0,0,0
ALY05950U45,5,43,229.65,229.65,0,0,43,229.65,0,0,0,0,0,0
ALY05953U,5,9,12.5,12.5,0,0,9,12.5,0,0,0,0,0,0
ALY06052U,5,19,12.5,12.5,0,0,19,12.5,0,0,0,0,0,0
ALY06054A,5,6,12.5,12.5,0,0,6,12.5,0,0,0,0,0,0
ALY06304U,5,8,12.5,12.5,0,0,8,12.5,0,0,0,0,0,0
ALY06304U10,5,10,139.56,139.56,0,0,10,139.56,0,0,0,0,0,0
ALY06304U20,5,9,139.56,139.56,0,0,9,139.56,0,0,0,0,0,0
ALY06516U,5,6,12.5,12.5,0,0,6,12.5,0,0,0,0,0,0
ALY06541U,5,6,12.5,12.5,0,0,6,12.5,0,0,0,0,0,0
ALY06543U,5,23,12.5,119.0,0,0,17,12.5,6,119.0,0,0,0,0
ALY06558U,5,29,12.5,119.0,0,0,16,12.5,13,119.0,0,0,0,0
ALY06558U20,5,10,139.56,139.56,0,0,10,139.56,0,0,0,0,0,0
ALY06560U,5,9,12.5,12.5,0,0,9,12.5,0,0,0,0,0,0
ALY06563U,5,22,12.5,12.5,0,0,22,12.5,0,0,0,0,0,0
ALY06563U20,5,7,165.85,165.85,0,0,7,165.85,0,0,0,0,0,0
ALY06566U,5,7,12.5,12.5,0,0,7,12.5,0,0,0,0,0,0
ALY06581U,5,10,12.5,12.5,0,0,10,12.5,0,0,0,0,0,0
ALY06584U86N,5,277,278.2,278.2,0,0,277,278.2,0,0,0,0,0,0
ALY06585U,5,37,12.5,12.5,0,0,37,12.5,0,0,0,0,0,0
ALY06585U20,5,34,165.85,165.85,0,0,34,165.85,0,0,0,0,0,0
ALY06587U20,5,5,165.85,165.85,0,0,5,165.85,0,0,0,0,0,0
ALY06589U,5,31,12.5,139.0,0,0,15,12.5,16,139.0,0,0,0,0
